n;timeGENP; errorGENP; timeGEPP; errorGEPP; timeMKL; errorMKL
1000;0.73060000000000002718;0.00000001324327456587;0.69500000000000006217;0.00000005180814355299;0.06360000000000000375;-0.00000000047637627176
2000;4.77340000000000053149;-0.00000053551334673330;4.70399999999999973710;-0.00000083853100818487;0.20839999999999997415;-0.00000000270446065542
3000;15.90200000000000102318;0.00000454549425796813;15.82160000000000010800;-0.00001062333796397752;0.66340000000000010072;-0.00000000066053473802
4000;39.16220000000000567297;0.00000565065070361470;39.73519999999999186002;0.00000802817017131474;1.62480000000000002203;0.00000000929102128566
5000;72.61360000000000525233;-0.00011530044938226069;73.21079999999999188276;-0.00023593289942169804;2.99580000000000001847;-0.00000000456648052705
6000;125.26200000000000045475;-0.00014052575112231125;125.70959999999999467946;-0.00022918909916569419;5.12359999999999971010;0.00000016233669697385
7000;198.03539999999998144631;-0.00001350760492755398;198.18299999999999272404;0.00004746621728202172;7.90559999999999973852;0.00000023158218454000
8000;294.70459999999997080522;-0.00054208624655416315;294.23439999999999372449;-0.00072454241698949318;11.84759999999999990905;-0.00000081461232070978
9000;391.14999999999997726263;0.00005947142254569825;369.44900000000001227818;0.00000717001400118988;14.15119999999999933493;-0.00000029742816565204
10000;486.67679999999995743565;0.00093262710752526354;487.60060000000004265530;-0.00006999827299125627;18.52179999999999893134;-0.00000001581767605785
